5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881,5881
5881,2744,2744,2744,2744,2744,2744,2744,2744,2744,2744,5926,2744,5881
5881,2744,2744,2744,2744,5881,2744,2744,2744,5881,2744,2744,1696,5881
5881,855,4441,4441,5150,5881,54,2518,54,5881,436,2518,360,5881
5881,54,4263,4263,54,5881,1313,1464,1313,5881,1313,1464,1313,5881
5881,54,54,54,54,5881,375,375,375,2744,375,375,375,5881
5881,561,561,54,54,5881,54,54,54,54,54,54,54,5881
5881,5881,5881,5881,5881,5881,54,54,54,5881,5881,5881,5881,5881
2744,2744,2744,2744,2744,5881,54,54,54,5881,2744,2744,2744,2744
2744,2744,2744,2744,2744,5881,5881,5881,5881,5881,2744,2744,2744,2744
1,1,1,1,1,2744,2744,2744,2744,2744,1,1,1,1
1,1,1,1,1,2744,2744,2589,2744,2744,1,1,1,1
